user_id,product_id,rating,timestamp
A3CJGOATIQ948P,B001BYASQ0,3.0,1318550400
A1PSUH0U1FPQ6R,B002QXZPFE,4.0,1376870400
A23QSTB241NRF3,B0040HJOO2,1.0,1335225600
A1IU4JZFDZA9HJ,B004LRO7FW,5.0,1326326400
A1B2D4J8KF4DFN,B006DKEQL0,2.0,1368144000
AZ4ASKHCHGLIU,B001QXDN2M,4.0,1266710400
A2SYLJAZO4SPA0,B00006G33N,4.0,1156204800
A11EGM5KO12IQ2,B0013F7JX2,2.0,1336435200
A3GB3663QXYMYD,B00H4IPH2W,5.0,1403827200
A1EW2XDJFKUNM3,B000FNC2IK,4.0,1305504000
A2UBTMZRMMIVKB,B000095ISG,5.0,1187308800
A20UNE9L6WKTSI,B008AFWRYY,5.0,1357430400
A1O0TOFN85RIPH,B00264NZWS,5.0,1371427200
A1TP2RW7KDI5AZ,B000VDG0UK,3.0,1212969600
A274MXTX3DYLUV,B000PI9E4K,5.0,1309824000
A30X750M8V1XXW,B009HQCAPQ,3.0,1362441600
A3O4B7VGPSAH76,B008WJAFPG,5.0,1379980800
AYZWH0EYHFTPG,B0079KZZKO,4.0,1394582400
A2RG1B0K8YBJ4A,B008LR35VK,4.0,1387584000
A24R30PNVRG4VG,B000M52C5O,5.0,1229212800
A18S2VGUH9SCV5,B001E78UQY,4.0,1244592000
A2L4ZGN7GZJ95T,B00JX1ZS5O,4.0,1399852800
A15T45VLAFQVTD,B00461FOIC,5.0,1358294400
A6FIAB28IS79,B002AH8T3Q,5.0,1251676800
AW4GC20Q3F1ZA,B00J3O9DYI,4.0,1405209600
A2BRXREMT5WZJ0,B000HPV3RW,4.0,1396483200
A1YAGM2QOSAAOT,B00FNPD1OY,5.0,1386115200
A20VZFDQ09EFO6,B004D24P48,5.0,1306022400
A2FOOWE5E379J2,B007HISFO6,5.0,1353888000
A3S9DOTT4Z8JF9,B000HRWKYA,5.0,1196985600
A2WBB8QN9S617,B00006RVPW,5.0,1358899200
A3PBPEFMYAX0CT,B000JJFRB4,5.0,1215820800
A1MT6DM5N1OFND,B00008VF8R,5.0,1307836800
A34UZMZ043704I,B0023B1364,5.0,1323648000
A362FM6FYA1SYS,B004V4IWHY,5.0,1369267200
A3CTI2ARGG2T7X,B00JC5Y6WM,4.0,1404000000
A3G50F5BB1J2CS,B0002BTOFY,5.0,1210550400
A10X33VL24RGDK,B003L170C6,5.0,1376006400
AZHGPE0NPPQVT,B000I97N0S,4.0,1352419200
AKBVYIIHWI04B,B009SYZ8OC,5.0,1376956800
A1CMD08Z49PGKQ,B00DIFIM36,5.0,1397088000
A18U05IGMK1FVV,B004SUIM80,2.0,1312848000
A13LA82RVQ4OBM,B00261JWWS,5.0,1290384000
A268S3JIG60QZF,B000L9OIQ2,5.0,1301616000
A3DWJPNIMV9PMG,B00HPR0YL6,1.0,1405468800
A3LY9ZWBRC7QS5,B0000VD3LC,5.0,1205971200
AOZ6FDBL9EX4J,B0001VGFHU,5.0,1389657600
A2DXENZNO2JT4F,B00B5Q79D4,4.0,1365984000
A3B4N0MZFYJWN8,B007FH1KX2,5.0,1400716800
A2KFKEME4A9ATW,B0038Q4AIG,3.0,1288656000
A2RLPYOQDA46LZ,B000JLJXV2,5.0,1353024000
A2LN3ZKNLTHQ2T,B005L8VFJQ,1.0,1390694400
A2QI2JHSIQ3SN3,B004Z9Y29W,5.0,1356307200
AGI184WCALGXG,B003VANOI6,4.0,1321488000
ADP8ROI8NMNL2,B00832NCWU,3.0,1350604800
A3O0P7XGZO3COI,B007PJ4PKK,4.0,1400112000
A105OCSP35YJG9,B003WUBIZQ,5.0,1398211200
ALOATV7XTBXB0,B001PBYQHG,5.0,1399161600
A2MFHJ08ZX3O61,B003VAK16O,3.0,1315785600
AA8RBTN3J2F5H,B001GR1C3A,5.0,1353110400
A1V4VVBQBFXRHC,B0002BEUZS,1.0,1343174400
A3EMASZ2TA2VYF,B0029LTSCE,5.0,1325548800
A3R1WFO4KIUQXZ,B00428N9N6,5.0,1292889600
AFVCZOXM4JV5W,B007M50PTM,5.0,1368576000
